Dia;Mes;Ano;Estado;Comunidad;Sitio;Latitud;Longitud;Habitat;Zonificacion;Tipo de protección;ANP;Buzo Monitor;Hora inicial buceo;Hora final buceo;Profundidad inicial (m);Profundidad final (m);Temperatura (°C);Visibilidad (m);Transecto;Genero;Especie;GeneroEspecie;Abundancia
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Pablo Catzim Pech;9:50;ND;5;5;ND;ND;1;Tripneustes;esculentus;Tripneustes esculentus;1
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Pablo Catzim Pech;9:50;ND;5;5;ND;ND;1;Strombus;gigas;Strombus gigas;1
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Pablo Catzim Pech;9:50;ND;5;5;ND;ND;2;ND;ND;ND ND;0
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Pablo Catzim Pech;9:50;ND;5;5;ND;ND;3;Strombus;gigas;Strombus gigas;1
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Pedro Cruz Be;9:50;ND;5;5;ND;ND;4;ND;ND;ND ND;0
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Pedro Cruz Be;9:50;ND;5;5;ND;ND;5;ND;ND;ND ND;0
18;3;2012;Quintana Roo;Maria Elena;Cabezo (Control);19.39314;-87.45577;Arrecife coralino;Pesca;Ninguna;RB Sian Ka'an;Pablo Catzim Pech;12:05;ND;5;5;ND;ND;1;ND;ND;ND ND;0
18;3;2012;Quintana Roo;Maria Elena;Cabezo (Control);19.39314;-87.45577;Arrecife coralino;Pesca;Ninguna;RB Sian Ka'an;Pablo Catzim Pech;12:05;ND;5;6;ND;ND;2;ND;ND;ND ND;0
18;3;2012;Quintana Roo;Maria Elena;Cabezo (Control);19.39314;-87.45577;Arrecife coralino;Pesca;Ninguna;RB Sian Ka'an;Pedro Cruz Be;12:05;ND;5;6;ND;ND;3;Panulirus;argus;Panulirus argus;3
18;3;2012;Quintana Roo;Maria Elena;Cabezo (Control);19.39314;-87.45577;Arrecife coralino;Pesca;Ninguna;RB Sian Ka'an;Pedro Cruz Be;12:05;ND;5;6;ND;ND;4;Panulirus;argus;Panulirus argus;1
17;3;2012;Quintana Roo;Punta Herrero;El Faro;19.30091;-87.4435;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Baltazar Hoil;12:00;ND;4;5;ND;ND;1;Diadema;antillarum;Diadema antillarum;2
17;3;2012;Quintana Roo;Punta Herrero;El Faro;19.30091;-87.4435;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Baltazar Hoil;12:00;ND;4;5;ND;ND;2;Diadema;antillarum;Diadema antillarum;1
17;3;2012;Quintana Roo;Punta Herrero;El Faro;19.30091;-87.4435;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Baltazar Hoil;12:00;ND;4;5;ND;ND;3;Eucidaris;tribuloides;Eucidaris tribuloides;1
17;3;2012;Quintana Roo;Punta Herrero;El Faro;19.30091;-87.4435;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Marco Antonio Gonzalez;12:00;ND;4;5;ND;ND;4;Diadema;antillarum;Diadema antillarum;16
17;3;2012;Quintana Roo;Punta Herrero;El Faro;19.30091;-87.4435;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Marco Antonio Gonzalez;12:00;ND;4;5;ND;ND;4;Eucidaris;tribuloides;Eucidaris tribuloides;8
17;3;2012;Quintana Roo;Punta Herrero;El Faro;19.30091;-87.4435;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Marco Antonio Gonzalez;12:00;ND;4;5;ND;ND;5;Diadema;antillarum;Diadema antillarum;17
17;3;2012;Quintana Roo;Punta Herrero;El Faro;19.30091;-87.4435;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Marco Antonio Gonzalez;12:00;ND;4;5;ND;ND;5;Eucidaris;tribuloides;Eucidaris tribuloides;9
17;3;2012;Quintana Roo;Punta Herrero;El Faro;19.30091;-87.4435;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Marco Antonio Gonzalez;12:00;ND;4;5;ND;ND;5;Panulirus;argus;Panulirus argus;1
19;3;2012;Quintana Roo;Maria Elena;El Gallinero;19.41254;-87.46046;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Pedro Cruz Be;12:30;ND;5;6;ND;ND;1;Stenopus;hispidus;Stenopus hispidus;1
19;3;2012;Quintana Roo;Maria Elena;El Gallinero;19.41254;-87.46046;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Pedro Cruz Be;12:30;ND;5;6;ND;ND;1;Eucidaris;tribuloides;Eucidaris tribuloides;6
19;3;2012;Quintana Roo;Maria Elena;El Gallinero;19.41254;-87.46046;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Pedro Cruz Be;12:30;ND;5;6;ND;ND;1;Tripneustes;esculentus;Tripneustes esculentus;1
19;3;2012;Quintana Roo;Maria Elena;El Gallinero;19.41254;-87.46046;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Pedro Cruz Be;12:30;ND;5;6;ND;ND;2;Eucidaris;tribuloides;Eucidaris tribuloides;3
19;3;2012;Quintana Roo;Maria Elena;El Gallinero;19.41254;-87.46046;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Pedro Cruz Be;12:30;ND;5;6;ND;ND;2;Strombus;gigas;Strombus gigas;5
19;3;2012;Quintana Roo;Maria Elena;El Gallinero;19.41254;-87.46046;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Pablo Catzim Pech;12:30;ND;5;6;ND;ND;3;Strombus;gigas;Strombus gigas;1
19;3;2012;Quintana Roo;Maria Elena;El Gallinero;19.41254;-87.46046;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Pablo Catzim Pech;12:30;ND;5;6;ND;ND;4;Diadema;antillarum;Diadema antillarum;2
19;3;2012;Quintana Roo;Maria Elena;El Gallinero;19.41254;-87.46046;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Pablo Catzim Pech;12:30;ND;5;6;ND;ND;4;Eucidaris;tribuloides;Eucidaris tribuloides;4
